Disease,City,State,Date,Population_Affected,Number_of_Deaths,Survived,Doctors_Available,Hospitals_Available
Asthma,Srinagar,Haryana,2021-10-01,3154,254,2900,107,5
Asthma,Srinagar,Haryana,2021-11-01,1305,62,1243,116,5
Asthma,Srinagar,Haryana,2021-12-01,78,0,78,135,1
Asthma,Srinagar,Haryana,2022-01-01,241,9,232,145,6
Asthma,Srinagar,Haryana,2022-02-01,895,47,848,200,4
Asthma,Srinagar,Haryana,2022-03-01,1405,92,1313,76,1
Asthma,Srinagar,Haryana,2022-04-01,2383,42,2341,71,1
Asthma,Srinagar,Haryana,2022-05-01,1237,74,1163,12,3
Asthma,Srinagar,Haryana,2022-06-01,3052,155,2897,140,9
Asthma,Srinagar,Haryana,2022-07-01,2286,94,2192,61,7
Asthma,Srinagar,Haryana,2022-08-01,2612,219,2393,152,3
Asthma,Srinagar,Haryana,2022-09-01,4127,98,4029,81,4
Asthma,Srinagar,Haryana,2022-10-01,1014,58,956,194,8
Asthma,Srinagar,Haryana,2022-11-01,3159,291,2868,33,3
Asthma,Srinagar,Haryana,2022-12-01,2579,76,2503,158,2
Asthma,Srinagar,Haryana,2023-01-01,2150,89,2061,152,7
Asthma,Srinagar,Haryana,2023-02-01,3785,442,3343,133,8
Asthma,Srinagar,Haryana,2023-03-01,3777,241,3536,49,3
Asthma,Srinagar,Haryana,2023-04-01,1328,46,1282,133,6
Asthma,Srinagar,Haryana,2023-05-01,2353,172,2181,113,5
Asthma,Srinagar,Haryana,2023-06-01,2975,99,2876,13,3
Asthma,Srinagar,Haryana,2023-07-01,2231,10,2221,186,8
Asthma,Srinagar,Haryana,2023-08-01,3382,304,3078,89,3
Asthma,Srinagar,Haryana,2023-09-01,2975,53,2922,182,7
Asthma,Srinagar,Haryana,2023-10-01,4989,442,4547,103,5
Asthma,Srinagar,Haryana,2023-11-01,545,19,526,156,4
Asthma,Srinagar,Haryana,2023-12-01,2433,272,2161,62,3
Asthma,Srinagar,Haryana,2024-01-01,1379,14,1365,117,2
Asthma,Srinagar,Haryana,2024-02-01,3408,272,3136,114,4
Asthma,Srinagar,Haryana,2024-03-01,428,27,401,90,3
Asthma,Srinagar,Haryana,2024-04-01,3062,227,2835,62,5
Asthma,Srinagar,Haryana,2024-05-01,1752,137,1615,11,1
Asthma,Srinagar,Haryana,2024-06-01,1613,57,1556,63,4
Asthma,Srinagar,Haryana,2024-07-01,657,7,650,142,6
Asthma,Srinagar,Haryana,2024-08-01,1974,95,1879,35,3
Asthma,Srinagar,Haryana,2024-09-01,4052,229,3823,46,7
Asthma,Srinagar,Haryana,2024-10-01,2564,93,2471,33,7
Asthma,Srinagar,Haryana,2024-11-01,3439,199,3240,117,1
Asthma,Srinagar,Haryana,2024-12-01,4831,288,4543,61,3
Asthma,Srinagar,Haryana,2025-01-01,2951,69,2882,168,1
Asthma,Srinagar,Haryana,2025-02-01,1848,113,1735,144,6
Asthma,Srinagar,Haryana,2025-03-01,3224,136,3088,116,5
Asthma,Srinagar,Haryana,2025-04-01,1867,55,1812,122,1
Asthma,Srinagar,Haryana,2025-05-01,1921,140,1781,67,3
Asthma,Srinagar,Haryana,2025-06-01,558,15,543,67,6
Asthma,Srinagar,Haryana,2025-07-01,3840,141,3699,142,5
Asthma,Srinagar,Haryana,2025-08-01,2080,108,1972,153,8
Asthma,Srinagar,Haryana,2025-09-01,2842,255,2587,142,1
Asthma,Srinagar,Haryana,2025-10-01,1208,67,1141,82,5
Asthma,Srinagar,Haryana,2025-11-01,3182,208,2974,86,2
Asthma,Srinagar,Haryana,2025-12-01,1575,65,1510,59,5
Asthma,Gurugram,Punjab,2018-01-01,2407,115,2292,145,4
Asthma,Gurugram,Punjab,2018-02-01,3775,183,3592,11,6
Asthma,Gurugram,Punjab,2018-03-01,3658,214,3444,11,4
Asthma,Gurugram,Punjab,2018-04-01,2568,106,2462,11,7
Asthma,Gurugram,Punjab,2018-05-01,225,20,205,11,3
Asthma,Gurugram,Punjab,2018-06-01,4989,195,4794,175,2
Asthma,Gurugram,Punjab,2018-07-01,4939,1,4938,146,5
Asthma,Gurugram,Punjab,2018-08-01,3567,442,3125,45,10
Asthma,Gurugram,Punjab,2018-09-01,1587,64,1523,101,1
Asthma,Gurugram,Punjab,2018-10-01,2445,215,2230,181,1
Asthma,Gurugram,Punjab,2018-11-01,1868,169,1699,132,5
Asthma,Gurugram,Punjab,2018-12-01,4293,333,3960,200,8
Asthma,Gurugram,Punjab,2019-01-01,2950,130,2820,100,6
Asthma,Gurugram,Punjab,2019-02-01,1545,90,1455,73,3
Asthma,Gurugram,Punjab,2019-03-01,1966,25,1941,51,6
Asthma,Gurugram,Punjab,2019-04-01,4101,442,3659,107,6
Asthma,Gurugram,Punjab,2019-05-01,4744,119,4625,154,3
Asthma,Gurugram,Punjab,2019-06-01,4648,198,4450,111,7
Asthma,Gurugram,Punjab,2019-07-01,3613,191,3422,88,5
Asthma,Gurugram,Punjab,2019-08-01,2259,106,2153,170,1
Asthma,Gurugram,Punjab,2019-09-01,78,0,78,133,4
Asthma,Gurugram,Punjab,2019-10-01,2996,271,2725,100,3
Asthma,Gurugram,Punjab,2019-11-01,2595,201,2394,67,9
Asthma,Gurugram,Punjab,2019-12-01,2785,165,2620,93,1
Asthma,Gurugram,Punjab,2020-01-01,2670,102,2568,130,3
Asthma,Gurugram,Punjab,2020-02-01,818,66,752,66,6
Asthma,Gurugram,Punjab,2020-03-01,3345,122,3223,43,10
Asthma,Gurugram,Punjab,2020-04-01,3446,330,3116,82,10
Asthma,Gurugram,Punjab,2020-05-01,3513,187,3326,104,5
Asthma,Gurugram,Punjab,2020-06-01,3867,332,3535,176,6
Asthma,Gurugram,Punjab,2020-07-01,3408,159,3249,47,7
Asthma,Gurugram,Punjab,2020-08-01,2047,106,1941,118,2
Asthma,Gurugram,Punjab,2020-09-01,2502,214,2288,92,5
Asthma,Gurugram,Punjab,2020-10-01,2720,309,2411,95,9
Asthma,Gurugram,Punjab,2020-11-01,2742,261,2481,185,5
Asthma,Gurugram,Punjab,2020-12-01,3937,297,3640,110,10
Asthma,Gurugram,Punjab,2021-01-01,3461,232,3229,60,4
Asthma,Gurugram,Punjab,2021-02-01,4989,176,4813,151,5
Asthma,Gurugram,Punjab,2021-03-01,4989,292,4697,148,5
Asthma,Gurugram,Punjab,2021-04-01,2704,63,2641,55,1
Asthma,Gurugram,Punjab,2021-05-01,78,0,78,45,8
Asthma,Gurugram,Punjab,2021-06-01,4257,267,3990,127,4
Asthma,Gurugram,Punjab,2021-07-01,1872,0,1872,105,6
Asthma,Gurugram,Punjab,2021-08-01,1522,77,1445,82,3
Asthma,Gurugram,Punjab,2021-09-01,2063,128,1935,160,10
Asthma,Gurugram,Punjab,2021-10-01,1998,95,1903,76,8
Asthma,Gurugram,Punjab,2021-11-01,3419,206,3213,128,5
Asthma,Gurugram,Punjab,2021-12-01,505,5,500,166,1
Asthma,Gurugram,Punjab,2022-01-01,1152,31,1121,89,7
Asthma,Gurugram,Punjab,2022-02-01,3058,245,2813,13,8
Asthma,Gurugram,Punjab,2022-03-01,3433,171,3262,86,2
Asthma,Gurugram,Punjab,2022-04-01,3458,207,3251,116,4
Asthma,Gurugram,Punjab,2022-05-01,1542,52,1490,157,5
Asthma,Gurugram,Punjab,2022-06-01,1285,65,1220,80,8
Asthma,Gurugram,Punjab,2022-07-01,1918,0,1918,194,4
Asthma,Gurugram,Punjab,2022-08-01,2919,218,2701,40,8
Asthma,Gurugram,Punjab,2022-09-01,4590,442,4148,115,3
Asthma,Gurugram,Punjab,2022-10-01,78,0,78,94,2
Asthma,Gurugram,Punjab,2022-11-01,2301,52,2249,175,10
Asthma,Gurugram,Punjab,2022-12-01,810,50,760,31,1
Asthma,Gurugram,Punjab,2023-01-01,381,35,346,128,3
Asthma,Gurugram,Punjab,2023-02-01,3895,194,3701,94,7
Asthma,Gurugram,Punjab,2023-03-01,3328,47,3281,184,3
Asthma,Gurugram,Punjab,2023-04-01,3200,140,3060,64,3
Asthma,Gurugram,Punjab,2023-05-01,3833,77,3756,127,4
Asthma,Gurugram,Punjab,2023-06-01,1954,59,1895,64,1
Asthma,Gurugram,Punjab,2023-07-01,2017,83,1934,116,8
Asthma,Gurugram,Punjab,2023-08-01,4989,114,4875,87,5
Asthma,Gurugram,Punjab,2023-09-01,2267,62,2205,87,2
Asthma,Gurugram,Punjab,2023-10-01,3584,187,3397,11,1
Asthma,Gurugram,Punjab,2023-11-01,2606,146,2460,127,1
Asthma,Gurugram,Punjab,2023-12-01,118,1,117,51,1
Asthma,Gurugram,Punjab,2024-01-01,78,0,78,49,5
Asthma,Gurugram,Punjab,2024-02-01,1821,70,1751,27,6
Asthma,Gurugram,Punjab,2024-03-01,4014,285,3729,52,7
Asthma,Gurugram,Punjab,2024-04-01,3655,266,3389,132,7
Asthma,Gurugram,Punjab,2024-05-01,3824,130,3694,129,7
Asthma,Gurugram,Punjab,2024-06-01,1273,86,1187,140,9
Asthma,Gurugram,Punjab,2024-07-01,4765,122,4643,54,8
Asthma,Gurugram,Punjab,2024-08-01,1303,115,1188,117,8
Asthma,Gurugram,Punjab,2024-09-01,2883,77,2806,75,6
Asthma,Gurugram,Punjab,2024-10-01,2584,155,2429,155,7
Asthma,Gurugram,Punjab,2024-11-01,2364,105,2259,128,4
Asthma,Gurugram,Punjab,2024-12-01,4393,89,4304,73,4
Asthma,Gurugram,Punjab,2025-01-01,1651,125,1526,159,10
Asthma,Gurugram,Punjab,2025-02-01,787,25,762,132,3
Asthma,Gurugram,Punjab,2025-03-01,2624,1,2623,36,3
Asthma,Gurugram,Punjab,2025-04-01,2061,0,2061,21,4
Asthma,Gurugram,Punjab,2025-05-01,4989,122,4867,38,3
Asthma,Gurugram,Punjab,2025-06-01,3505,315,3190,190,3
Asthma,Gurugram,Punjab,2025-07-01,2048,177,1871,54,6
Asthma,Gurugram,Punjab,2025-08-01,1181,34,1147,200,6
Asthma,Gurugram,Punjab,2025-09-01,78,0,78,52,7
Asthma,Gurugram,Punjab,2025-10-01,1222,44,1178,46,10
Asthma,Gurugram,Punjab,2025-11-01,2752,30,2722,151,4
Asthma,Gurugram,Punjab,2025-12-01,4512,101,4411,153,5
Asthma,Gurugram,Chandigarh,2018-01-01,4102,322,3780,135,1
Asthma,Gurugram,Chandigarh,2018-02-01,2905,188,2717,141,1
Asthma,Gurugram,Chandigarh,2018-03-01,2164,125,2039,65,4
Asthma,Gurugram,Chandigarh,2018-04-01,2958,33,2925,149,6
Asthma,Gurugram,Chandigarh,2018-05-01,1902,100,1802,118,6
Asthma,Gurugram,Chandigarh,2018-06-01,4903,0,4903,88,7
Asthma,Gurugram,Chandigarh,2018-07-01,2344,174,2170,111,8
Asthma,Gurugram,Chandigarh,2018-08-01,2482,142,2340,160,10
Asthma,Gurugram,Chandigarh,2018-09-01,78,0,78,126,4
Asthma,Gurugram,Chandigarh,2018-10-01,2335,226,2109,11,2
Asthma,Gurugram,Chandigarh,2018-11-01,3720,0,3720,152,7
Asthma,Gurugram,Chandigarh,2018-12-01,1165,76,1089,148,8
Asthma,Gurugram,Chandigarh,2019-01-01,1590,105,1485,87,5
Asthma,Gurugram,Chandigarh,2019-02-01,3661,51,3610,112,4
Asthma,Gurugram,Chandigarh,2019-03-01,616,30,586,112,3
Asthma,Gurugram,Chandigarh,2019-04-01,4016,9,4007,11,5
Asthma,Gurugram,Chandigarh,2019-05-01,1884,0,1884,86,7
Asthma,Gurugram,Chandigarh,2019-06-01,2076,39,2037,88,3
Asthma,Gurugram,Chandigarh,2019-07-01,1090,35,1055,98,2
Asthma,Gurugram,Chandigarh,2019-08-01,3105,213,2892,79,7
Asthma,Gurugram,Chandigarh,2019-09-01,4989,259,4730,140,2
Asthma,Gurugram,Chandigarh,2019-10-01,3646,192,3454,65,5
Asthma,Gurugram,Chandigarh,2019-11-01,1438,29,1409,153,5
Asthma,Gurugram,Chandigarh,2019-12-01,4121,142,3979,138,5
Asthma,Gurugram,Chandigarh,2020-01-01,2173,49,2124,176,3
Asthma,Gurugram,Chandigarh,2020-02-01,4441,64,4377,195,10
Asthma,Gurugram,Chandigarh,2020-03-01,3680,120,3560,195,6
Asthma,Gurugram,Chandigarh,2020-04-01,78,0,78,46,3
Asthma,Gurugram,Chandigarh,2020-05-01,1250,41,1209,124,6
Asthma,Gurugram,Chandigarh,2020-06-01,3864,157,3707,70,10
Asthma,Gurugram,Chandigarh,2020-07-01,2801,196,2605,200,5
Asthma,Gurugram,Chandigarh,2020-08-01,1224,43,1181,137,9
Asthma,Gurugram,Chandigarh,2020-09-01,1747,19,1728,178,1
Asthma,Gurugram,Chandigarh,2020-10-01,78,0,78,128,2
Asthma,Gurugram,Chandigarh,2020-11-01,2479,143,2336,11,1
Asthma,Gurugram,Chandigarh,2020-12-01,4989,297,4692,66,10
Asthma,Gurugram,Chandigarh,2021-01-01,3677,251,3426,71,1
Asthma,Gurugram,Chandigarh,2021-02-01,4989,316,4673,86,5
Asthma,Gurugram,Chandigarh,2021-03-01,3781,192,3589,125,10
Asthma,Gurugram,Chandigarh,2021-04-01,3976,442,3534,132,8
Asthma,Gurugram,Chandigarh,2021-05-01,4989,63,4926,11,6
Asthma,Gurugram,Chandigarh,2021-06-01,3104,102,3002,94,9
Asthma,Gurugram,Chandigarh,2021-07-01,2346,183,2163,81,3
Asthma,Gurugram,Chandigarh,2021-08-01,3983,215,3768,177,6
Asthma,Gurugram,Chandigarh,2021-09-01,4548,328,4220,136,4
Asthma,Gurugram,Chandigarh,2021-10-01,1954,107,1847,97,4
Asthma,Gurugram,Chandigarh,2021-11-01,1629,146,1483,118,5
Asthma,Gurugram,Chandigarh,2021-12-01,2784,57,2727,20,8
Asthma,Gurugram,Chandigarh,2022-01-01,3713,330,3383,140,9
Asthma,Gurugram,Chandigarh,2022-02-01,3668,308,3360,86,4
Asthma,Gurugram,Chandigarh,2022-03-01,687,10,677,65,2
Asthma,Gurugram,Chandigarh,2022-04-01,4989,341,4648,173,2
Asthma,Gurugram,Chandigarh,2022-05-01,1737,84,1653,120,10
Asthma,Gurugram,Chandigarh,2022-06-01,2242,72,2170,72,9
Asthma,Gurugram,Chandigarh,2022-07-01,1386,0,1386,75,2
Asthma,Gurugram,Chandigarh,2022-08-01,4989,103,4886,125,10
Asthma,Gurugram,Chandigarh,2022-09-01,2922,206,2716,121,3
Asthma,Gurugram,Chandigarh,2022-10-01,1456,107,1349,108,7
Asthma,Gurugram,Chandigarh,2022-11-01,3756,165,3591,45,3
Asthma,Gurugram,Chandigarh,2022-12-01,3629,267,3362,52,10
Asthma,Gurugram,Chandigarh,2023-01-01,2346,182,2164,68,3
Asthma,Gurugram,Chandigarh,2023-02-01,3725,203,3522,96,2
Asthma,Gurugram,Chandigarh,2023-03-01,1490,43,1447,104,3
Asthma,Gurugram,Chandigarh,2023-04-01,1936,121,1815,98,10
Asthma,Gurugram,Chandigarh,2023-05-01,78,0,78,100,6
Asthma,Gurugram,Chandigarh,2023-06-01,821,57,764,200,2
Asthma,Gurugram,Chandigarh,2023-07-01,4989,375,4614,149,3
Asthma,Gurugram,Chandigarh,2023-08-01,4799,50,4749,167,1
Asthma,Gurugram,Chandigarh,2023-09-01,2686,94,2592,130,6
Asthma,Gurugram,Chandigarh,2023-10-01,4828,0,4828,110,1
Asthma,Gurugram,Chandigarh,2023-11-01,2383,171,2212,127,8
Asthma,Gurugram,Chandigarh,2023-12-01,2271,99,2172,118,7
Asthma,Gurugram,Chandigarh,2024-01-01,2673,167,2506,147,5
Asthma,Gurugram,Chandigarh,2024-02-01,2430,17,2413,57,8
Asthma,Gurugram,Chandigarh,2024-03-01,2309,209,2100,143,8
Asthma,Gurugram,Chandigarh,2024-04-01,4131,63,4068,115,5
Asthma,Gurugram,Chandigarh,2024-05-01,2799,203,2596,14,3
Asthma,Gurugram,Chandigarh,2024-06-01,3553,190,3363,111,6
Asthma,Gurugram,Chandigarh,2024-07-01,3981,177,3804,40,6
Asthma,Gurugram,Chandigarh,2024-08-01,3118,131,2987,79,6
Asthma,Gurugram,Chandigarh,2024-09-01,1296,40,1256,98,5
Asthma,Gurugram,Chandigarh,2024-10-01,783,68,715,29,6
Asthma,Gurugram,Chandigarh,2024-11-01,2797,141,2656,103,6
Asthma,Gurugram,Chandigarh,2024-12-01,2368,31,2337,110,9
Asthma,Gurugram,Chandigarh,2025-01-01,2715,105,2610,145,1
Asthma,Gurugram,Chandigarh,2025-02-01,2576,138,2438,83,2
Asthma,Gurugram,Chandigarh,2025-03-01,4989,380,4609,120,5
Asthma,Gurugram,Chandigarh,2025-04-01,813,26,787,101,3
Asthma,Gurugram,Chandigarh,2025-05-01,78,0,78,85,5
Asthma,Gurugram,Chandigarh,2025-06-01,3043,154,2889,21,2
Asthma,Gurugram,Chandigarh,2025-07-01,2092,157,1935,101,2
Asthma,Gurugram,Chandigarh,2025-08-01,3021,30,2991,144,10
Asthma,Gurugram,Chandigarh,2025-09-01,3381,219,3162,59,4
Asthma,Gurugram,Chandigarh,2025-10-01,4320,157,4163,95,1
Asthma,Gurugram,Chandigarh,2025-11-01,575,23,552,103,4
Asthma,Gurugram,Chandigarh,2025-12-01,1851,200,1651,162,8
Asthma,Gurugram,Himachal Pradesh,2018-01-01,3173,140,3033,108,8
Asthma,Gurugram,Himachal Pradesh,2018-02-01,3631,261,3370,121,1
Asthma,Gurugram,Himachal Pradesh,2018-03-01,4989,354,4635,106,3
Asthma,Gurugram,Himachal Pradesh,2018-04-01,3879,61,3818,81,5
Asthma,Gurugram,Himachal Pradesh,2018-05-01,2521,0,2521,48,5
Asthma,Gurugram,Himachal Pradesh,2018-06-01,1403,103,1300,92,1
Asthma,Gurugram,Himachal Pradesh,2018-07-01,1840,34,1806,126,1
Asthma,Gurugram,Himachal Pradesh,2018-08-01,1802,2,1800,112,2
Asthma,Gurugram,Himachal Pradesh,2018-09-01,3476,277,3199,182,1
Asthma,Gurugram,Himachal Pradesh,2018-10-01,2942,60,2882,154,3
Asthma,Gurugram,Himachal Pradesh,2018-11-01,822,22,800,169,8
Asthma,Gurugram,Himachal Pradesh,2018-12-01,2013,216,1797,11,3
Asthma,Gurugram,Himachal Pradesh,2019-01-01,3775,6,3769,187,8
Asthma,Gurugram,Himachal Pradesh,2019-02-01,3069,41,3028,120,5
Asthma,Gurugram,Himachal Pradesh,2019-03-01,3360,123,3237,127,4
Asthma,Gurugram,Himachal Pradesh,2019-04-01,3111,134,2977,152,1
Asthma,Gurugram,Himachal Pradesh,2019-05-01,4779,114,4665,107,8
Asthma,Gurugram,Himachal Pradesh,2019-06-01,2914,47,2867,52,5
Asthma,Gurugram,Himachal Pradesh,2019-07-01,2080,195,1885,180,1
Asthma,Gurugram,Himachal Pradesh,2019-08-01,1369,79,1290,67,6
Asthma,Gurugram,Himachal Pradesh,2019-09-01,2932,196,2736,56,3
Asthma,Gurugram,Himachal Pradesh,2019-10-01,78,0,78,94,5
Asthma,Gurugram,Himachal Pradesh,2019-11-01,2350,137,2213,87,6
Asthma,Gurugram,Himachal Pradesh,2019-12-01,2321,179,2142,106,8
Asthma,Gurugram,Himachal Pradesh,2020-01-01,767,16,751,101,2
Asthma,Gurugram,Himachal Pradesh,2020-02-01,1352,78,1274,175,6
Asthma,Gurugram,Himachal Pradesh,2020-03-01,3684,259,3425,130,9
Asthma,Gurugram,Himachal Pradesh,2020-04-01,2907,276,2631,63,10
Asthma,Gurugram,Himachal Pradesh,2020-05-01,2734,291,2443,70,8
Asthma,Gurugram,Himachal Pradesh,2020-06-01,3008,156,2852,86,6
Asthma,Gurugram,Himachal Pradesh,2020-07-01,2722,226,2496,87,6
Asthma,Gurugram,Himachal Pradesh,2020-08-01,4265,0,4265,80,9
Asthma,Gurugram,Himachal Pradesh,2020-09-01,2763,263,2500,50,4
Asthma,Gurugram,Himachal Pradesh,2020-10-01,641,18,623,121,7
Asthma,Gurugram,Himachal Pradesh,2020-11-01,4784,205,4579,83,10
Asthma,Gurugram,Himachal Pradesh,2020-12-01,3094,194,2900,58,5
Asthma,Gurugram,Himachal Pradesh,2021-01-01,1807,82,1725,131,1
Asthma,Gurugram,Himachal Pradesh,2021-02-01,916,51,865,149,2
Asthma,Gurugram,Himachal Pradesh,2021-03-01,3129,301,2828,94,6
Asthma,Gurugram,Himachal Pradesh,2021-04-01,2440,94,2346,197,2
Asthma,Gurugram,Himachal Pradesh,2021-05-01,4709,86,4623,200,4
Asthma,Gurugram,Himachal Pradesh,2021-06-01,2133,219,1914,132,4
Asthma,Gurugram,Himachal Pradesh,2021-07-01,1474,96,1378,82,6
Asthma,Gurugram,Himachal Pradesh,2021-08-01,3799,402,3397,120,2
Asthma,Gurugram,Himachal Pradesh,2021-09-01,3839,288,3551,44,3
Asthma,Gurugram,Himachal Pradesh,2021-10-01,2824,32,2792,62,9
Asthma,Gurugram,Himachal Pradesh,2021-11-01,3505,241,3264,20,3
Asthma,Gurugram,Himachal Pradesh,2021-12-01,2547,54,2493,74,7
Asthma,Gurugram,Himachal Pradesh,2022-01-01,2911,146,2765,43,5
Asthma,Gurugram,Himachal Pradesh,2022-02-01,4160,199,3961,138,5
Asthma,Gurugram,Himachal Pradesh,2022-03-01,3436,10,3426,68,7
Asthma,Gurugram,Himachal Pradesh,2022-04-01,2370,62,2308,120,1
Asthma,Gurugram,Himachal Pradesh,2022-05-01,4412,442,3970,144,6
Asthma,Gurugram,Himachal Pradesh,2022-06-01,78,0,78,166,6
Asthma,Gurugram,Himachal Pradesh,2022-07-01,4989,224,4765,88,7
Asthma,Gurugram,Himachal Pradesh,2022-08-01,309,31,278,122,4
Asthma,Gurugram,Himachal Pradesh,2022-09-01,1756,67,1689,124,5
Asthma,Gurugram,Himachal Pradesh,2022-10-01,2543,120,2423,171,1
Asthma,Gurugram,Himachal Pradesh,2022-11-01,2401,189,2212,146,3
Asthma,Gurugram,Himachal Pradesh,2022-12-01,3948,151,3797,173,5
Asthma,Gurugram,Himachal Pradesh,2023-01-01,1178,33,1145,21,9
Asthma,Gurugram,Himachal Pradesh,2023-02-01,2947,0,2947,72,10
Asthma,Gurugram,Himachal Pradesh,2023-03-01,1822,41,1781,159,4
Asthma,Gurugram,Himachal Pradesh,2023-04-01,2993,67,2926,136,7
Asthma,Gurugram,Himachal Pradesh,2023-05-01,2511,137,2374,100,4
Asthma,Gurugram,Himachal Pradesh,2023-06-01,2722,87,2635,82,1
Asthma,Gurugram,Himachal Pradesh,2023-07-01,1860,209,1651,146,7
Asthma,Gurugram,Himachal Pradesh,2023-08-01,1913,36,1877,11,10
Asthma,Gurugram,Himachal Pradesh,2023-09-01,2983,270,2713,147,4
Asthma,Gurugram,Himachal Pradesh,2023-10-01,3863,218,3645,111,2
Asthma,Gurugram,Himachal Pradesh,2023-11-01,1795,132,1663,81,5
Asthma,Gurugram,Himachal Pradesh,2023-12-01,1432,102,1330,132,4
Asthma,Gurugram,Himachal Pradesh,2024-01-01,3420,0,3420,87,10
Asthma,Gurugram,Himachal Pradesh,2024-02-01,2554,127,2427,108,8
Asthma,Gurugram,Himachal Pradesh,2024-03-01,3712,157,3555,104,5
Asthma,Gurugram,Himachal Pradesh,2024-04-01,1382,23,1359,144,1
Asthma,Gurugram,Himachal Pradesh,2024-05-01,210,13,197,114,4
Asthma,Gurugram,Himachal Pradesh,2024-06-01,1882,188,1694,11,10
Asthma,Gurugram,Himachal Pradesh,2024-07-01,1569,0,1569,35,5
Asthma,Gurugram,Himachal Pradesh,2024-08-01,2492,86,2406,51,7
Asthma,Gurugram,Himachal Pradesh,2024-09-01,1743,24,1719,129,6
Asthma,Gurugram,Himachal Pradesh,2024-10-01,3591,187,3404,135,3
Asthma,Gurugram,Himachal Pradesh,2024-11-01,2211,89,2122,191,10
Asthma,Gurugram,Himachal Pradesh,2024-12-01,2799,90,2709,55,5
Asthma,Gurugram,Himachal Pradesh,2025-01-01,2809,197,2612,173,3
Asthma,Gurugram,Himachal Pradesh,2025-02-01,2859,279,2580,11,5
Asthma,Gurugram,Himachal Pradesh,2025-03-01,2565,327,2238,107,9
Asthma,Gurugram,Himachal Pradesh,2025-04-01,3282,93,3189,119,1
Asthma,Gurugram,Himachal Pradesh,2025-05-01,1530,0,1530,119,6
Asthma,Gurugram,Himachal Pradesh,2025-06-01,4475,296,4179,90,5
Asthma,Gurugram,Himachal Pradesh,2025-07-01,2280,221,2059,112,1
Asthma,Gurugram,Himachal Pradesh,2025-08-01,838,61,777,43,7
Asthma,Gurugram,Himachal Pradesh,2025-09-01,2850,275,2575,150,6
Asthma,Gurugram,Himachal Pradesh,2025-10-01,1456,63,1393,119,7
Asthma,Gurugram,Himachal Pradesh,2025-11-01,3490,112,3378,125,8
Asthma,Gurugram,Himachal Pradesh,2025-12-01,4989,266,4723,92,5
Asthma,Gurugram,Jammu & Kashmir,2018-01-01,1542,62,1480,90,3
Asthma,Gurugram,Jammu & Kashmir,2018-02-01,3043,211,2832,133,1
Asthma,Gurugram,Jammu & Kashmir,2018-03-01,242,18,224,187,3
Asthma,Gurugram,Jammu & Kashmir,2018-04-01,3206,258,2948,35,5
Asthma,Gurugram,Jammu & Kashmir,2018-05-01,1409,91,1318,33,2
Asthma,Gurugram,Jammu & Kashmir,2018-06-01,1759,100,1659,120,7
Asthma,Gurugram,Jammu & Kashmir,2018-07-01,1120,81,1039,89,2
Asthma,Gurugram,Jammu & Kashmir,2018-08-01,3580,0,3580,113,1
Asthma,Gurugram,Jammu & Kashmir,2018-09-01,3949,221,3728,105,3
Asthma,Gurugram,Jammu & Kashmir,2018-10-01,2629,135,2494,138,5
Asthma,Gurugram,Jammu & Kashmir,2018-11-01,1438,80,1358,92,1
Asthma,Gurugram,Jammu & Kashmir,2018-12-01,4730,224,4506,45,2
Asthma,Gurugram,Jammu & Kashmir,2019-01-01,1591,99,1492,66,3
Asthma,Gurugram,Jammu & Kashmir,2019-02-01,78,0,78,98,3
Asthma,Gurugram,Jammu & Kashmir,2019-03-01,3212,266,2946,42,6
Asthma,Gurugram,Jammu & Kashmir,2019-04-01,1115,71,1044,104,7
Asthma,Gurugram,Jammu & Kashmir,2019-05-01,3924,213,3711,109,3
Asthma,Gurugram,Jammu & Kashmir,2019-06-01,2086,62,2024,88,2
Asthma,Gurugram,Jammu & Kashmir,2019-07-01,3407,251,3156,117,5
Asthma,Gurugram,Jammu & Kashmir,2019-08-01,4478,251,4227,24,6
Asthma,Gurugram,Jammu & Kashmir,2019-09-01,976,27,949,58,10
Asthma,Gurugram,Jammu & Kashmir,2019-10-01,1838,88,1750,48,8
Asthma,Gurugram,Jammu & Kashmir,2019-11-01,2496,170,2326,151,1
Asthma,Gurugram,Jammu & Kashmir,2019-12-01,4660,308,4352,200,4
Asthma,Gurugram,Jammu & Kashmir,2020-01-01,1714,110,1604,61,6
Asthma,Gurugram,Jammu & Kashmir,2020-02-01,1800,94,1706,94,2
Asthma,Gurugram,Jammu & Kashmir,2020-03-01,3239,258,2981,71,4
Asthma,Gurugram,Jammu & Kashmir,2020-04-01,1823,156,1667,117,7
Asthma,Gurugram,Jammu & Kashmir,2020-05-01,2802,200,2602,75,6
Asthma,Gurugram,Jammu & Kashmir,2020-06-01,516,17,499,121,5
Asthma,Gurugram,Jammu & Kashmir,2020-07-01,4989,96,4893,140,3
Asthma,Gurugram,Jammu & Kashmir,2020-08-01,789,27,762,44,1
Asthma,Gurugram,Jammu & Kashmir,2020-09-01,2166,231,1935,120,4
Asthma,Gurugram,Jammu & Kashmir,2020-10-01,2554,148,2406,15,5
Asthma,Gurugram,Jammu & Kashmir,2020-11-01,4989,442,4547,93,1
Asthma,Gurugram,Jammu & Kashmir,2020-12-01,820,38,782,90,5
